2643743	London	51.5085	-0.1257	GB
2644210	Liverpool	53.4106	-2.9779	GB
2640729	Oxford	51.7522	-1.256	GB
2643123	Manchester	53.4809	-2.2374	GB
524901	Moscow	55.7522	37.6156	RU
468902	Yaroslav	57.6299	39.8737	RU
498677	Saratov	51.5667	46.0333	RU
2988507	Paris	48.8534	2.3488	FR
5134295	Rome	43.2128	-75.4557	US
2950159	Berlin	52.5244	13.4105	DE
3117735	Madrid	40.4165	-3.7026	ES
232422	Kampala	0.3163	32.5822	UG
1275339	Mumbai	19.0144	72.8479	IN
1070940	Antananarivo	-18.9137	47.5361	MG
683506	Bucharest	44.4323	26.1063	RO
675810	Iasi	47.1667	27.6	RO
681291	Cluj	46.6494	23.8184	RO
667268	Sibiu	45.8	24.15	RO
